name1^transactiondate^transactiontypeid^transactiontypeno^transactionterms^particulars^amount
AIR CONDITIONER NO. 1^1977-05-05 00:00:00.0^AssetAddHist^AIRCON1-1977^0^Addition at Year 1977^730
ELECTRICAL CALCULATOR^1977-05-05 00:00:00.0^AssetAddHist^ELECAL-1977^0^Addition at Year 1977^409
ELECTRICAL MOTOR EQUIPMENT^1977-05-05 00:00:00.0^AssetAddHist^ELEMOT-1977^0^Addition at Year 1977^22,206.4
EQUIPMENT^1977-05-05 00:00:00.0^AssetAddHist^EQU-1977^0^Addition at Year 1977^1,310.4
FACTORY BUILDING^1977-05-05 00:00:00.0^AssetAddHist^FACBUI-1977^0^Addition at Year 1977^18,833.99
FEED MIXER NO. 1^1977-05-05 00:00:00.0^AssetAddHist^FEEDMIX1-1977^0^Addition at Year 1977^2,772
GRINDING MACHINE NO. 1^1977-05-05 00:00:00.0^AssetAddHist^GRINDMAC1-1977^0^Addition at Year 1977^1,525
LAND PROPERTY^1977-05-05 00:00:00.0^AssetAddHist^LANDPROP-1977^0^Addition at Year 1977^4,250
LIFTING MACHINE^1977-05-05 00:00:00.0^AssetAddHist^LIFMAC-1977^0^Addition at Year 1977^5,756
OFFICE FURNITURE^1977-05-05 00:00:00.0^AssetAddHist^OFFFUR-1977^0^Addition at Year 1977^386.5
SEWING MACHINE^1977-05-05 00:00:00.0^AssetAddHist^SEWMAC-1977^0^Addition at Year 1977^633
ELECTRICAL MOTOR EQUIPMENT^1978-05-05 00:00:00.0^AssetAddHist^ELEMOT-1978^0^Addition at Year 1978^25,677
FACTORY BUILDING^1978-05-05 00:00:00.0^AssetAddHist^FACBUI-1978^0^Addition at Year 1978^30,000
GRINDING MACHINE NO. 1^1978-05-05 00:00:00.0^AssetAddHist^GRINDMAC1-1978^0^Addition at Year 1978^2,000
OFFICE FURNITURE^1978-05-05 00:00:00.0^AssetAddHist^OFFFUR-1978^0^Addition at Year 1978^105
TOYOTA FORKLIFT NO. 1 (WAH 8123)^1978-05-05 00:00:00.0^AssetAddHist^TOYFORLIFT1-1978^0^Addition at Year 1978^31,500
TOYOTA FORKLIFT NO. 2 (WAH 6783)^1978-05-05 00:00:00.0^AssetAddHist^TOYFORLIFT2-1978^0^Addition at Year 1978^31,500
